,Rule code,Rule message,Affected fields
0,166,Date of review is invalid or blank.,['REVIEW']
1,INT06,Internal Check: Child in OC3 does not exist in Header.,['CHILD']
2,103,The ethnicity code is either not valid or has not been entered.,['ETHNIC']
3,584,"Date of decision that the child should be placed for adoption this year is different from that recorded last year, but the decision to placed the child for adoption changed and the child should no longer be placed for adoption.",['DATE_PLACED']
4,420,LA of placement completed but child is looked after under legal status V3 or V4.,['PL_LA']
5,INT31,Internal Check: Child should only exist once in AD1.,['CHILD']
6,581,Child is missing but has not yet started to be looked after.,['MIS_START']
7,373,Child placed in a school should be at least 4 years old.,"['DECOM', 'PLACE']"
8,303,"If date Unaccompanied Asylum-Seeking Child (UASC) status ceased is not null, UASC status must be coded 1.","['DUC', 'UASC']"
9,185,Child has not been looked after continuously for at least 12 months at 31 March but a Strengths and Difficulties (SDQ) score has been completed.,['SDQ_SCORE']
10,115,Date of Local Authority's (LA) decision that a child should be placed for adoption is not a valid date.,['DATE_PLACED']
11,504,The category of need code differs from that reported at start of current period of being looked after,['CIN']
12,334,Date child started to be looked after in latest period of care must be on or prior to the date should be placed for adoption. ,"['DATE_INT', 'DECOM', 'RNE']"
13,188,"Child is aged under 4 years at the end of the year, but a Strengths and Difficulties (SDQ) score or a reason for no SDQ score has been completed. ","['SDQ_SCORE', 'SDQ_REASON']"
14,570,The date that the child started to be missing or away from placement without authorisation is after the end of the collection year.,['MIS_START']
15,117,Date of decision that a child should/should no longer be placed for adoption is beyond the current collection year or after the child ceased to be looked after.,"['DATE_PLACED_CEASED', 'DATE_PLACED', 'DEC', 'REC', 'DECOM']"
16,191,Child has been looked after continuously for at least 12 months at 31 March but one or more data items relating to children looked after for 12 months have been left blank.,"['IMMUNISATIONS', 'TEETH_CHECK', 'HEALTH_ASSESSMENT', 'SUBSTANCE_MISUSE', 'CHILD']"
17,215,Child has care leaver information but one or more data items relating to children looked after for 12 months have been completed.,"['IN_TOUCH', 'ACTIV', 'ACCOM', 'CONVICTED', 'HEALTH_CHECK', 'IMMUNISATIONS', 'TEETH_CHECK', 'HEALTH_ASSESSMENT', 'SUBSTANCE_MISUSE', 'INTERVENTION_RECEIVED', 'INTERVENTION_OFFERED']"
18,102,Date of birth is not a valid date.,['DOB']
19,133,Data entry for accommodation after leaving care is invalid. If reporting on a childs accommodation after leaving care the data entry must be valid,['ACCOM']
20,142,"A new episode has started, but the previous episode has not ended.","['DEC', 'REC']"
